0.000000	2.750000	speaker1
0.000000	2.741902	
0.000000	0.000000	
2.750000	3.500000	speaker2
2.750000	2.750000	s
3.500000	6.250000	speaker1
6.250000	6.971985	speaker2
6.750000	10.000000	speaker1
10.000000	11.750000	speaker2
11.750000	23.000000	speaker1
22.250000	26.500000	speaker2
26.500000	29.250000	speaker1
28.750000	29.750000	speaker2
29.750000	32.250000	speaker1
32.000000	34.500000	speaker2
34.500000	37.000000	speaker1
37.500000	37.500000	speaker2
42.250000	43.250000	speaker1
43.250000	44.500000	speaker2
44.500000	48.500000	speaker1
48.250000	50.000000	speaker2
50.000000	51.500000	speaker1
51.500000	54.250000	
51.500000	54.250000	speaker2
54.250000	57.750000	speaker1
