0.000000	4.500000	speaker1
0.000000	0.000000	
4.500000	9.500000	speaker2
9.500000	10.500000	speaker1
10.500000	11.500000	speaker2
11.500000	12.500000	speaker1
12.500000	13.750000	speaker2
13.750000	14.500000	speaker1
14.500000	15.250000	speaker2
15.250000	16.000000	speaker1
16.000000	16.750000	
16.000000	16.750000	speaker2
16.750000	17.500000	speaker1
17.500000	18.250000	speaker2
18.250000	19.500000	
18.250000	19.500000	speaker1
19.500000	20.500000	speaker1
20.500000	21.500000	speaker2
21.500000	23.250000	speaker1
23.000000	24.000000	speaker2
23.750000	24.750000	speaker1
24.500000	25.250000	speaker2
25.250000	26.000000	speaker1
25.500000	27.250000	speaker1
27.000000	28.000000	speaker2
28.000000	28.750000	speaker1
28.500000	29.500000	speaker2
29.500000	30.500000	speaker1
30.500000	31.000000	speaker2
31.000000	33.257374	speaker1
32.750000	34.250000	speaker2
34.250000	35.500000	speaker1
35.000000	36.250000	speaker2
36.000000	37.500000	speaker1
37.750000	38.500000	speaker2
38.500000	39.250000	speaker1
39.250000	40.500000	speaker2
40.500000	41.500000	speaker1
41.500000	42.250000	speaker2
42.250000	43.250000	speaker1
43.250000	44.250000	speaker2
44.250000	45.250000	speaker1
