0.000000	2.000000	speaker1
2.000000	4.000000	speaker2
4.000000	8.051595	speaker1
8.000000	9.750000	speaker2
9.750000	12.750875	speaker1
12.750000	14.701861	speaker2
14.750000	17.885050	speaker1
17.750000	19.250136	
17.750000	19.250000	speaker2
19.250000	22.469566	speaker1
22.500000	23.750000	speaker2
23.750000	29.923180	speaker1
30.000000	35.335205	speaker2
35.500000	37.000000	speaker1
37.000000	38.250000	speaker2
38.250000	42.347884	speaker1
42.500000	44.202227	speaker2
44.250000	45.250000	speaker1
