0.000000	0.750000	speaker2
0.000000	0.000000	
0.750000	1.750000	speaker1
1.750000	2.500000	speaker2
2.500000	3.000000	speaker1
3.000000	3.750000	speaker2
3.750000	4.500000	speaker1
4.500000	5.250000	speaker2
5.250000	6.000000	speaker1
6.000000	7.000000	speaker2
7.000000	9.010479	speaker1
9.000000	10.000000	speaker2
10.000000	11.000000	speaker1
11.000000	12.000000	speaker2
12.000000	13.000000	speaker1
13.000000	14.000000	speaker2
14.000000	15.000000	speaker1
15.000000	16.000000	speaker2
16.000000	17.756840	speaker1
17.750000	18.500000	speaker2
18.500000	19.250000	speaker1
19.250000	20.000000	speaker2
20.000000	21.058312	speaker1
21.058312	21.789715	speaker2
21.750000	22.500000	speaker1
22.500000	23.250000	speaker2
23.250000	24.250000	speaker1
24.250000	25.000000	speaker2
25.000000	26.000000	speaker1
26.000000	26.750000	speaker2
26.750000	27.500000	speaker1
27.500000	28.250000	speaker2
28.250000	30.343067	speaker1
30.250000	31.500000	speaker2
31.500000	32.250000	speaker1
32.250000	33.000000	speaker2
33.000000	34.000000	speaker1
34.000000	35.000000	speaker2
35.000000	36.631101	speaaker1
36.500000	37.250000	speaker2
37.250000	38.000000	speaker1
38.000000	39.599590	speaker2
39.500000	41.411652	speaker1
41.250000	42.000000	speaker2
42.000000	43.000000	speaker1
43.000000	44.000000	speaker2
44.000000	45.000000	speaker1
